"","disasterNumber","declarationDate","incidentType","pwNumber","applicationTitle","applicantId","damageCategoryCode","dcc","damageCategory","projectSize","county","countyCode","state","stateCode","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate","hash","lastRefresh","id"
"926",1292,"1999-09-16T04:00:00.000Z","Hurricane",985,"DEBRIS REMOVAL","101-53820-00","A - Debris Removal","A","Debris Removal","Small","Johnston",101,"North Carolina","NC",37,8860,7974,8280.99,"1999-11-22T16:11:48.000Z","208c3f4fc359981ffaedb07f79c2e780","2020-06-15T11:19:34.405Z","5ee75946556129600dd56d1f"
"927",1292,"1999-09-16T04:00:00.000Z","Hurricane",986,"PUBLIC UTILITIES","055-41060-00","F - Public Utilities","F","Public Utilities","Small","Dare",55,"North Carolina","NC",37,23830,21447,22272.71,"1999-12-04T02:12:51.000Z","24ed7254391c13748c66d9d19f8b8ff5","2020-06-15T11:19:34.406Z","5ee75946556129600dd56d20"
"928",1292,"1999-09-16T04:00:00.000Z","Hurricane",987,"PUBLIC BUILDINGS AND FACILITIES","155-99155-00","E - Public Buildings","E","Public Buildings","Small","Robeson",155,"North Carolina","NC",37,2235,2011.5,2088.93,"1999-11-22T16:11:48.000Z","e9debe993c46445f0e35cfa21cdbb2dd","2020-06-15T11:19:34.407Z","5ee75946556129600dd56d21"
"929",1292,"1999-09-16T04:00:00.000Z","Hurricane",988,"EMERGENCY PROTECTIVE MEASURES","133-47845-00","B - Protective Measures","B","Protective Measures","Large","Onslow",133,"North Carolina","NC",37,256609.36,230948.42,232076.05,"1999-12-10T00:57:43.000Z","69df66595ff601161450f418d20c0604","2020-06-15T11:19:34.408Z","5ee75946556129600dd56d22"
"930",1292,"1999-09-16T04:00:00.000Z","Hurricane",989,"DEBRIS REMOVAL","155-39700-00","A - Debris Removal","A","Debris Removal","Large","Robeson",155,"North Carolina","NC",37,121049.04,108944.14,112152.46,"1999-12-01T03:40:51.000Z","3cb530ac3170e28b7f4b63c2119521eb","2020-06-15T11:19:34.409Z","5ee75946556129600dd56d23"
"931",1292,"1999-09-16T04:00:00.000Z","Hurricane",990,"DEBRIS REMOVAL","131-56440-00","A - Debris Removal","A","Debris Removal","Small","Northampton",131,"North Carolina","NC",37,5924,5331.6,5536.86,"1999-11-22T16:11:48.000Z","b2d069e3d4636787048301edff2968d5","2020-06-15T11:19:34.410Z","5ee75946556129600dd56d24"
"932",1292,"1999-09-16T04:00:00.000Z","Hurricane",991,"ROADS AND BRIDGES","133-34200-00","C - Roads and Bridges","C","Roads and Bridges","Small","Onslow",133,"North Carolina","NC",37,4281,3852.9,4001.23,"1999-11-22T16:11:48.000Z","2f833bb6bc85f8fdb0fcc078d75f8bb6","2020-06-15T11:19:34.412Z","5ee75946556129600dd56d25"
"933",1292,"1999-09-16T04:00:00.000Z","Hurricane",992,"RECREATIONAL OR OTHER","133-34200-00","G - Recreational or Other","G","Recreational or Other","Small","Onslow",133,"North Carolina","NC",37,3626,3263.4,3360.88,"1999-11-22T16:11:48.000Z","661ec7c6f3bee9f30d1463740bae24ce","2020-06-15T11:19:34.413Z","5ee75946556129600dd56d26"
"934",1292,"1999-09-16T04:00:00.000Z","Hurricane",993,"PUBLIC BUILDINGS AND FACILITIES","147-99147-00","E - Public Buildings","E","Public Buildings","Small","Pitt",147,"North Carolina","NC",37,1700,1530,1546.19,"2000-05-13T00:04:19.000Z","dbb17768f6203a89e1b2088dc8d58f2c","2020-06-15T11:19:34.414Z","5ee75946556129600dd56d27"
"935",1292,"1999-09-16T04:00:00.000Z","Hurricane",994,"DEBRIS REMOVAL","147-28200-00","A - Debris Removal","A","Debris Removal","Large","Pitt",147,"North Carolina","NC",37,36168.88,32551.99,34106.67,"1999-11-22T16:11:48.000Z","4f1ab1d863c755d4c85f933740017ed0","2020-06-15T11:19:34.415Z","5ee75946556129600dd56d28"
"936",1292,"1999-09-16T04:00:00.000Z","Hurricane",995,"DEBRIS REMOVAL","015-13560-00","A - Debris Removal","A","Debris Removal","Small","Bertie",15,"North Carolina","NC",37,2177.38,1959.65,2035.09,"1999-11-22T16:11:48.000Z","171e3730b41a1acb21d2b41ae15331b5","2020-06-15T11:19:34.416Z","5ee75946556129600dd56d29"
"937",1292,"1999-09-16T04:00:00.000Z","Hurricane",996,"EMERGENCY PROTECTIVE MEASURES","041-99041-00","B - Protective Measures","B","Protective Measures","Small","Chowan",41,"North Carolina","NC",37,9221.47,8299.32,8618.84,"1999-11-19T03:18:21.000Z","388340f20aecc798d3adb6627512a06b","2020-06-15T11:19:34.417Z","5ee75946556129600dd56d2a"
"938",1292,"1999-09-16T04:00:00.000Z","Hurricane",997,"RECREATIONAL OR OTHER","127-57500-00","G - Recreational or Other","G","Recreational or Other","Small","Nash",127,"North Carolina","NC",37,14506.16,13055.54,21095.56,"2000-01-21T20:29:22.000Z","de965c7368bb7a5394718c16ad3e0925","2020-06-15T11:19:34.418Z","5ee75946556129600dd56d2b"
"939",1292,"1999-09-16T04:00:00.000Z","Hurricane",998,"PUBLIC UTILITIES","041-20120-00","F - Public Utilities","F","Public Utilities","Small","Chowan",41,"North Carolina","NC",37,7906.17,7115.56,7389.52,"1999-11-22T16:11:48.000Z","7a875fc5f851959cc722382366c967f3","2020-06-15T11:19:34.419Z","5ee75946556129600dd56d2c"
"940",1292,"1999-09-16T04:00:00.000Z","Hurricane",999,"EMERGENCY PROTECTIVE MEASURES","041-20120-00","B - Protective Measures","B","Protective Measures","Small","Chowan",41,"North Carolina","NC",37,5301.79,4771.61,4479.29,"1999-11-19T03:18:21.000Z","9d59973ce8d8b5a01660a9c7a4a95325","2020-06-15T11:19:34.420Z","5ee75946556129600dd56d2d"
